,areaCd,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
0,0105001,1,1,0,OLD,20226431,오펜하이머,2023-08-15,103670326,34.1,-247664299,-70.5,10071405252,9125,-21542,-70.2,896563,209,629
1,0105001,2,2,0,OLD,20204264,콘크리트 유토피아,2023-08-09,43398480,14.3,-96852646,-69.1,8430957005,4556,-9561,-67.7,839734,155,467
2,0105001,3,3,0,OLD,20233014,타겟,2023-08-30,39396839,12.9,-94082398,-70.5,610357523,4251,-8661,-67.1,63541,140,462
3,0105001,4,4,0,OLD,20226500,달짝지근해: 7510,2023-08-15,35562505,11.7,-71989554,-66.9,2261034929,3658,-6846,-65.2,227545,126,357
4,0105001,5,5,0,OLD,20228930,엘리멘탈,2023-06-14,19615294,6.4,-35146099,-64.2,18875370357,2132,-3285,-60.6,1860785,63,94
5,0105001,6,6,0,OLD,20218541,밀수,2023-07-26,14653635,4.8,-26240971,-64.2,10554475821,1516,-2527,-62.5,1065951,92,174
6,0105001,7,7,2,OLD,20223831,스파이 코드명 포춘,2023-08-30,6567434,2.2,-10601994,-61.7,112729668,693,-975,-58.5,11941,73,132
7,0105001,8,8,0,OLD,20233075,신체모음.zip,2023-08-30,4281800,1.4,-12581400,-74.6,82615700,409,-1508,-78.7,9570,32,61
8,0105001,9,9,5,OLD,20231413,한 남자,2023-08-30,2500300,0.8,-2305900,-48,58613750,275,-251,-47.7,6038,25,50
9,0105001,10,10,2,OLD,20232740,바비,2023-07-19,2645879,0.9,-3544672,-57.3,2751751188,267,-314,-54,272083,19,23
10,0105002,1,1,0,OLD,20226431,오펜하이머,2023-08-15,59452279,24.7,-191892424,-76.3,8008427802,5833,-17339,-74.8,752737,284,808
11,0105002,2,2,1,OLD,20233014,타겟,2023-08-30,46870313,19.5,-103673811,-68.9,624390782,4934,-9757,-66.4,65154,237,804
12,0105002,3,3,1,OLD,20226500,달짝지근해: 7510,2023-08-15,40801845,17.0,-100714269,-71.2,2850733179,4273,-9686,-69.4,288029,225,660
13,0105002,4,4,-2,OLD,20204264,콘크리트 유토피아,2023-08-09,38916282,16.2,-110516014,-74,9386810944,4174,-10810,-72.1,953354,243,727
14,0105002,5,5,0,OLD,20228930,엘리멘탈,2023-06-14,15797125,6.6,-63939057,-80.2,19285391928,1672,-6232,-78.8,1947239,109,177
15,0105002,6,6,0,OLD,20218541,밀수,2023-07-26,15500548,6.5,-30972356,-66.6,12551400560,1645,-2969,-64.3,1283776,159,278
16,0105002,7,7,0,OLD,20233075,신체모음.zip,2023-08-30,6060700,2.5,-17173000,-73.9,86769500,607,-1886,-75.7,9485,64,131
17,0105002,8,8,0,OLD,20223831,스파이 코드명 포춘,2023-08-30,4779477,2.0,-11016250,-69.7,85686565,503,-1010,-66.8,9266,106,167
18,0105002,9,9,0,OLD,20232629,마야 3: 숲속 왕국의 위기,2023-08-24,2584000,1.1,-7634100,-74.7,80864900,321,-762,-70.4,9295,27,27
19,0105002,10,10,2,OLD,20231413,한 남자,2023-08-30,1402150,0.6,-1239050,-46.9,14345350,163,-121,-42.6,1736,33,53
20,0105003,1,1,0,OLD,20233014,타겟,2023-08-30,5598262,23.2,-9646380,-63.3,65772404,629,-989,-61.1,7433,39,111
21,0105003,2,2,0,OLD,20226431,오펜하이머,2023-08-15,5271773,21.8,-10367351,-66.3,562090719,556,-1046,-65.3,57241,36,85
22,0105003,3,3,0,OLD,20204264,콘크리트 유토피아,2023-08-09,4556378,18.9,-9868056,-68.4,835641106,521,-1026,-66.3,90530,40,89
23,0105003,4,4,0,OLD,20226500,달짝지근해: 7510,2023-08-15,4367106,18.1,-9543628,-68.6,277555960,507,-979,-65.9,30725,31,77
